Rank,2009 Rank,Company and Year-end,Profit ($000),% Chg,Revenue ($000),% Chg,Assets ($000),% Chg,Mkt Cap ($-mil),Employees,Industry,Rank Change,Profit Margin,Revenue per Employee,Profit Per Employee,Return on Assets
13,7,Teck Resources(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TCK.A-T,1860000,2,10450000,20,29209000,-2,36617,9100,Integrated Mines,-6,0,1148352,204396,0
29,17,Husky Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=HSE-T,1173000,-17,18261000,20,29133000,11,23648,4380,Integrated Oils,-12,0,4169178,267808,0
17,64,Goldcorp Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=G-T,1574300,555,3799800,40,28809100,38,36629,3140,Precious Metals,47,0,1210127,501369,0
953,113,Onex Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=OCX-T,-51000,-146,24311000,-4,27078000,7,3637,238000,Management & Diversified,-840,0,102147,-214,0
11,6,Canadian National Railway Co.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CNR-T,2104000,13,8515000,11,25206000,0,30481,22279,Transportation,-5,0,382198,94439,0
45,45,Talisman Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TLM-T,648000,48,8347000,23,24193000,2,22547,3000,Oil and Gas Producers,0,0,2782333,216000,0
134,109,Laurentian Bank of Canada(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=LB-T,122941,9,1188248,1,23800003,7,1059,3643,Banks,-25,0,326173,33747,0
40,31,Bombardier Inc.(Ja11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BBD.B-T,755000,8,17887000,-9,23430000,10,9836,65370,Transportation Equipment & Components,-9,0,273627,11550,0
34,32,Cenovus Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CVE-T,993000,21,13621000,14,22095000,2,25049,2375,Oil and Gas Producers,-2,0,5735158,418105,0
28,39,Nexen Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=NXY-T,1197000,123,5840000,15,21907000,-4,11986,3925,Oil and Gas Producers,11,0,1487898,304968,0
