Rank,2009 Rank,Company and Year-end,Profit ($000),% Chg,Revenue ($000),% Chg,Assets ($000),% Chg,Mkt Cap ($-mil),Employees,Industry,Rank Change,Profit Margin,Revenue per Employee,Profit Per Employee,Return on Assets
6,1000,Barrick Gold(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ABX-T,3274000,177,11068000,34,33322000,23,53040,16000,Precious Metals,994,29.58%,691,750.00,204,625.00,9.83%
51,23,Fairfax Financial Holdings(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=FFH-T,471200,-52,6163700,-7,31738200,12,8366,6584,Insurance - Property & Casualty,-28,7.64%,936,163.43,71,567.44,1.48%
35,14,Enbridge Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ENB-T,970000,-38,15539000,13,30120000,7,21664,6357,Pipelines,-21,6.24%,2,444,392.01,152,587.70,3.22%
13,7,Teck Resources(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TCK.A-T,1860000,2,10450000,20,29209000,-2,36617,9100,Integrated Mines,-6,17.80%,1,148,351.65,204,395.60,6.37%
29,17,Husky Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=HSE-T,1173000,-17,18261000,20,29133000,11,23648,4380,Integrated Oils,-12,6.42%,4,169,178.08,267,808.22,4.03%
17,64,Goldcorp Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=G-T,1574300,555,3799800,40,28809100,38,36629,3140,Precious Metals,47,41.43%,1,210,127.39,501,369.43,5.46%
953,113,Onex Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=OCX-T,-51000,-146,24311000,-4,27078000,7,3637,238000,Management & Diversified,-840,-0.21%,102,147.06,-214.29,-0.19%
11,6,Canadian National Railway Co.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CNR-T,2104000,13,8515000,11,25206000,0,30481,22279,Transportation,-5,24.71%,382,198.48,94,438.71,8.35%
45,45,Talisman Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TLM-T,648000,48,8347000,23,24193000,2,22547,3000,Oil and Gas Producers,0,7.76%,2,782,333.33,216,000.00,2.68%
134,109,Laurentian Bank of Canada(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=LB-T,122941,9,1188248,1,23800003,7,1059,3643,Banks,-25,10.35%,326,172.93,33,747.19,0.52%
40,31,Bombardier Inc.(Ja11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BBD.B-T,755000,8,17887000,-9,23430000,10,9836,65370,Transportation Equipment & Components,-9,4.22%,273,627.05,11,549.64,3.22%
34,32,Cenovus Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CVE-T,993000,21,13621000,14,22095000,2,25049,2375,Oil and Gas Producers,-2,7.29%,5,735,157.89,418,105.26,4.49%
28,39,Nexen Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=NXY-T,1197000,123,5840000,15,21907000,-4,11986,3925,Oil and Gas Producers,11,20.50%,1,487,898.09,304,968.15,5.46%
55,27,George Weston Ltd.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=WN-T,452000,-56,32030000,0,20854000,4,10868,155000,Food Stores,-28,1.41%,206,645.16,2,916.13,2.17%
10,13,Imperial Oil(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IMO-T,2210000,40,25092000,17,20580000,18,34396,4970,Integrated Oils,3,8.81%,5,048,692.15,444,668.01,10.74%
18,50,Brookfield Office Properties(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BPO-T,1552000,805,2578000,462,20420000,32,8828,2200,Property Management & Investment,32,60.20%,1,171,818.18,705,454.55,7.60%
31,28,Telus Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=T-T,1034000,4,9784000,1,19599000,2,14661,34800,Telephone Utilities,-3,10.57%,281,149.43,29,712.64,5.28%
21,15,Rogers Communications(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=RCI.B-T,1528000,3,12190000,3,17330000,2,19221,27971,Cable,-6,12.53%,435,808.52,54,628.01,8.82%
39,53,Kinross Gold(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=K-T,771600,149,3349300,36,16397100,105,21431,5500,Precious Metals,14,23.04%,608,963.64,140,290.91,4.71%
43,34,Loblaw Companies(Ja11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=L-T,681000,4,31005000,1,15919000,6,11327,136000,Food Stores,-9,2.20%,227,977.94,5,007.35,4.28%
12,24,Potash Corp. of Saskatchewan(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=POT-T,1806200,84,6883200,58,15619300,21,43921,5400,Chemicals,12,26.24%,1,274,666.67,334,481.48,11.56%
122,979,E-L Financial Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ELF-T,144693,178,2725184,27,13974077,8,1999,2189,Insurance - Property & Casualty,857,5.31%,1,244,944.72,66,100.05,1.04%
33,994,Magna International(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=MG-T,973000,297,24157000,39,13898000,13,12592,96600,Automotive,961,4.03%,250,072.46,10,072.46,7.00%
44,36,Canadian Pacific Railway Ltd.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CP-T,650700,18,5013300,13,13675900,-3,10934,13619,Transportation,-8,12.98%,368,110.73,47,778.84,4.76%
90,969,Penn West Petroleum(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PWT-T,226000,257,3139000,8,13368000,-4,10959,2076,Oil and Gas Producers,879,7.20%,1,512,042.39,108,863.20,1.69%
73,61,Fortis Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=FTS-T,313000,12,3664000,1,12903000,6,5926,6459,Electrical Utilities,-12,8.54%,567,270.48,48,459.51,2.43%
5,4,Research In Motion(Fe11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=RIM-T,3411000,39,19915000,33,12875000,26,33669,17500,Telecommunications,-1,17.13%,1,138,000.00,194,914.29,26.49%
42,47,Agrium Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=AGU-T,714000,95,10829000,16,12717000,30,14457,14150,Chemicals,5,6.59%,765,300.35,50,459.36,5.61%
114,120,Canadian Western Bank(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CWB-T,163621,54,663182,10,12701691,9,1690,1828,Banks,6,24.67%,362,791.03,89,508.21,1.29%
59,98,Intact Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IFC-T,419800,231,4668900,10,12148900,7,5705,7500,Insurance - Property & Casualty,39,8.99%,622,520.00,55,973.33,3.46%
56,48,Westcoast Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=W.PR.H-T,448000,13,3403000,-2,11952000,4,null,3343,Pipelines,-8,13.16%,1,017,947.95,134,011.37,3.75%
991,76,Valeant Pharmaceuticals Intl(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=VRX-T,-208193,-218,1177553,40,10795117,424,8553,3700,Biotechnology & Pharmaceuticals,-915,-17.68%,318,257.57,-56,268.38,-1.93%
93,138,Sherritt International(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=S-T,214000,150,1835900,26,10721500,8,2499,6800,Integrated Mines,45,11.66%,269,985.29,31,470.59,2.00%
147,850,Air Canada(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=AC.A-T,107000,546,10950000,5,10544000,1,962,22494,Transportation,703,0.98%,486,796.48,4,756.82,1.01%
